"#",Lens ID,Title,Abstract,Inventors
1,178-231-622-103-543,sistema in situ para o tratamento térmico aeróbico de resíduos orgãnicos biodegradáveis,,ZAVALA MIGUEL ANGEL LOPEZ
197,031-400-712-198-009,MICROMILLING METHOD IN THERMOPLASTIC POLYMERIC MATERIALS.,"The present invention pertains to the field of methods for manufacturing microchannels in the flat surface of working pieces made of thermoplastic materials by means of a micromilling technique, thus providing a micromilling method in working pieces made of thermoplastic polymeric materials for the manufacture of microchannels, and more particularly refers to the manufacture of pieces with microchannels intended for microelectromechanical devices, microfluidic microdevices or microbioreactors. The method herein described is performed by machining the prepared working pieces, in order to produce microchannels of a reduced roughness, applying a cutting strength lower than the roughness and micromilling of working pieces without preparation.",ZUNIGA ALEX ELIAS;;GONZALEZ CIRO ANGEL RODRIGUEZ;;CARRILLO HECTOR RAFAEL SILLER;;BELTRAN RICARDO CORONA;;GONZALEZ ARTURO MARBAN
198,040-150-234-847-349,"ANTIMICROBIAL, ANTIBACTERIAL AND SPORE GERMINATION INHIBITING ACTIVITY FROM AN AVOCADO EXTRACT ENRICHED IN BIOACTIVE COMPOUNDS","The present invention relates to extracts from Persea sp. (avocado) enriched in bioactive compounds which can be used as antimicrobial, antibacterial or spore germination inhibiting agents, the process for obtaining the extracts, acetogenins and isolated molecules and methods for using the extracts enriched in bioactive compounds for providing antimicrobial, antibacterial or spore germination inhibiting effect.",HERNANDEZ-BRENES CARMEN;;GARCIA-CRUZ MARIA ISABEL;;GUTIERREZ-URIBE JANET ALEJANDRA;;BENAVIDES-LOZANO JORGE ALEJANDRO;;RODRIGUEZ-SANCHEZ DARIANA GRACIELA
199,111-081-443-992-531,"DEVELOPMENT DEVICE FOR THE DESIGN OF INSTRUMENTS FOR PROTECTING, MONITORING AND CONTROLLING ELECTRIC SYSTEMS.","The present development is an electronic device based on a digital processor, which is conceived for designing instruments for protecting, monitoring and controlling electric systems. The device is mainly used in the industry for generating, transmitting and distributing electric energy. The invention has by default two novel functions which are not performed by any other similar device: The overvoltage flaws are detected in less than a quarter of the period by measuring and checking the current phasor angle. The only manner for knowing this measurement is by the current phasor amplitude, the overvoltage detection being evident after a quarter of period. A further function is the measurement of the frequency in real time in each sample by means of a recursive average calculation of the phasor angles as a filter that reduces the measurement error in ± 0.05Hz. The only form in which this measurement in real time is known may introduce errors of ± 0.2 Hz.",CISNEROS ARMANDO RAFAEL SAN VICENTE;;GARCIA JAIME ROBLES;;MATEOS RAUL ANGEL CORTES;;QUERO JESUS ENRIQUE CHONG
200,012-293-291-530-914,DAIRY PROBIOTIC DEHYDRATED AND LAMINATED FOOD PRODUCT.,"Described is a dairy probiotic dehydrated and laminated food product (DPDL), which is stable at a temperature of 25°C or lower, and process for the manufacture thereof. The DPDL contains a minimum concentration of probiotic bacteria of from about 10 7 UFC/g, preferably B infantis or L. acidophilus and probiotic agents such as inulin and maize starch resistant to the enzymatic attack which guarantees a beneficial effect on the consumer's health. The process for obtaining the product acts as a method for preserving the probiotic bacteria and maintaining them viable, with which previous unitary operations such as lyophilisation, drying by aspersion or microencapsulation are avoided. The laminated form of the product provides the invention with versatility so that being used in different presentations.",GANTE CECILIA ROJAS DE;;SANTIAGO GRISSEL TRUJILLO DE
201,075-648-976-143-007,METHOD FOR OBTAINING ANTIMICROBIAL DRESSINGS FOR TREATING WOUNDS.,"The present invention provides a method for obtaining antimicrobial dressings for treating wounds, which comprises the steps of preparing an aqueous solution of polyvinyl alcohol by increasing the temperature and then reducing the temperature of the solution and dissolving a vegetal antimicrobial extract therein, the same being poured into moulds and the solvent evaporated in order to obtain said dressing. The dressing obtained by the aforementioned method is characterized in that it has a film shape and may be coiled and exert and antimicrobial activity upon contacting the skin, and also presenting a predetermined tensile strength, elongation, water absorption and mainly skin adhesiveness. The dressing resulting from the aforementioned method is characterized in that it has a film shape and may be coiled, and exert and antimicrobial activity upon contacting the skin, and also presenting a predetermined tensile strength, elongation, water absorption and mainly skin adhesiveness.",GANTE CECILIA ROJAS DE;;COLLINS CARLOS PATRICIO SAENZ
202,054-126-781-720-126,OBTENTION OF A FUCOXANTHIN-ENRICHED EXTRACT BY ALCOHOL-SAL AQUEOUS TWO-PHASE SYSTEMS.,"The following invention refers to the obtention of a fucoxanthyn-enriched extract from large brown algae (Macrocystis pyrifera amongst others) by means of a process that involves at least a step of alcohol-sal aqueous two-phase systems. Said process may involve the whole or some of the following steps (1) algae preparation, (2) fucoxanthine extraction, (3) selective fractioning of fucoxanthine in the alcohol-sal aqueous two-phase system, (5) concentration of the fucoxanthine-enriched extract,(6) purification of the fucoxanthine-enriched extract by liquid chromatography, (7) final concentration of the fucoxanthine-enriched extract. The designed process is efficient and versatile, since it allows, by means of the combination of the involved steps, to generate products with a purity suitable to be applied in a wide variety of applications, including food, sweeteners, pharmaceutical and analytical applications.",LOZANO JORGE ALEJANDRO BENAVIDES;;PALOMARES MARCO ANTONIO RITO;;URIBE JANET ALEJANDRA GUTIERREZ;;LEON RODRIGO HERNAN VASQUEZ
203,126-366-043-824-807,MICROANALYTICAL METHOD FOR THE SIMULTANEOUS CONCENTRATION AND SEPARATION OF MICROORGANISMS AND/OR PARTICLES BY DIELECTROPHORESIS AND ELECTRIC FIELD GRADIENTS IN MICRODEVICES.,"The microanalytical method performed by dielectrophoresis and electric field gradients generated by direct current in microdevices allows the microorganisms and/or particles to be simultaneously concentrated and/or separated whereas the suspension medium is flowed. The selective and sequential elution in fractions with a higher purity is obtained from each one of the populations trapped by dielectrophoresis upon applying an electric field lower than that required by the population so as to continue trapped. Said elution is showed in a dielectropherogram from the optic detection and measure, thus allowing concentration factors to be obtained for quantifying each population. The present method may be performed in different microdevices and has the potential to be integrated to analytical methods where a non-destructive and quick microbiological analysis is required, within the minute order, which facilitates the concentration and recovery of populations free from other type of microorga nisms and/or microparticles for their subsequent process, the same being used as a method for the quantification and purification of the species present in the mixture. The microanalytical method may be applied in the detection of pollutants in food and water, in clinical or environmental samples, amongst other examples, thus providing multiple benefits over conventional methods such as the microorganism culture, the filtration and centrifugation.",ENCINAS BLANCA HAZALIA LAPIZCO;;HERNANDEZ HECTOR MONCADA;;PEREZ MADIA MIRELLE JESUS
204,145-757-539-887-235,ZINAGIZADO AS AN ANTI-CORROSIVE PROCESS FOR METALS USING AND ELECTROLYTIC METHOD.,"The present invention is included in the field for treating surfaces of metallic coatings, mainly structural construction materials, such as profiles, sheets and/or further objects of different geometries. The application of this process is performed in a coating that acts as an anti-corrosive protecting layer. The invention specifically refers to an electrolytic Zinagizado process, where the anode for transferring ions is the ZINAG(r) alloy (77%Zn-22%Al-Ag) and the cathode is the material to be coated. The scope of action of the materials coated with this process is to increase the useful life thereof, this reducing the costs generated by the chemical phenomena best known as corrosion. For example, the invention may be applied in the automotive, nautical, aeronautic and civil construction areas, as well as in the oil and medical industry. In the electrolytic Zinagizado process a positive charge of the alloy ZINAG (r), which is the anode, is transmitted and an exchange of ions is perf ormed by the electrolytic medium, which by means of negative charges are adhered to the surface of the cathode in order to provide a coating of <<10 Ám, which acts as an anti-corrosive coating, thus increasing the useful life of the material up to 60%, which also will provide an increased hardness.",CASOLCO SAID ROBLES;;ALARCON ADRIANNI ZANATTA;;RODRIGUEZ SOCORRO VALDEZ
205,018-717-990-383-911,"SYSTEM FOR THE DETECTION AND RECORDING OF MOVEMENTS GENERATED BY DISEASES AND MEDICATION, BASED ON MICRO ELECTRO-MECHANICAL SENSORS","The invention relates to a system for the detection and recording of human movement, but which can also be used for animals and other biological systems. The system includes a sub-system for deploying and managing information, as well as allowing said information to be processed and transmitted to external computer equipment. The system is characterised in that it uses micro electro-mechanical sensors (such as micro-accelerometers) in order to take measurements, using a sensor positioning arrangement which, combined with the negligible weight of said sensors, does not interfere with the movement of the subject being studied or, consequently, the measurements. The sensors are coupled to the subject being studied by means of interchangeable couplers that allow varied attachment configurations so that they can be placed on practically any part of the body. The system is a biomechanical measurement device intended for use in the health field, but which would also be suitable for use in the field of research.",BUSTAMANTE BELLO MARTIN ROGELIO;;OROZCO DIAZ CARLOS AMNAEL;;LIMON ALONZO DIANA PATRICIA;;CRUZ VARGAS DANIELA;;MANRIQUE AGUILA YAIZA VICTORIA;;CONTRERAS MAGUEY SARA HELIA;;AGUILERA RAMIREZ MIGUEL ALFONSO;;PEREZ NOVELO RODRIGO;;QUINTANAR MELENDEZ ANA LAURA
206,117-351-229-450-753,"SYSTEM FOR THE DETECTION AND RECORDING OF MOVEMENTS GENERATED BY DISEASES AND MEDICATION, BASED ON MICRO ELECTRO-MECHANICAL SENSORS.","The invention relates to a system for the detection and recording of human movement, but which can also be used for animals and other biological systems. The system includes a sub-system for deploying and managing information, as well as allowing said information to be processed and transmitted to external computer equipment. The system is characterised in that it uses micro electro-mechanical sensors (such as micro-accelerometers) in order to take measurements, using a sensor positioning arrangement which, combined with the negligible weight of said sensors, does not interfere with the movement of the subject being studied or, consequently, the measurements. The sensors are coupled to the subject being studied by means of interchangeable couplers that allow varied attachment configurations so that they can be placed on practically any part of the body. The system is a biomechanical measurement device intended for use in the health field, but which would also be suitable for use in th e field of research.",MELENDEZ ANA LAURA QUINTANAR;;DIAZ CARLOS AMNAEL OROZCO;;BELLO MARTIN ROGELIO BUSTAMANTE;;ALONZO DIANA PATRICIA LIMON;;AGUILA YAIZA VICTORIA MANRIQUE;;VARGAS DANIELA CRUZ;;RAMIREZ MIGUEL ALFONSO AGUILERA;;NOVELO RODRIGO PEREZ;;MAGUEY SARA HELIA CONTRERAS
207,102-609-526-048-526,NEONATAL HYDROCEPHALUS SHUNT VALVE.,"Hydrocephalus is the accumulation of cerebrospinal liquid in the ventricles of the brain, said liquid is daily produced in amounts of 200 ml in a baby and 500 ml in an adult; this condition is suffered by 1 or 3 in a million people at a world wide level, there are shunt valves for draining the CSL but are used once the baby has born. The novel characteristic of this shunt valve is that the same may be used in neonates, approximately at the 23 week-gestation, which is the minimum time in which the disease may be detected. The valve is introduced by surgery, in a subcutaneous manner, in the head of the neonate, when the CSL is produced and the pressure inside the brain increased, the valve allows the liquid to flow to the uterine cavity of the mother. Avoiding brain sequelae and geometric malformations in the skull of the baby, thereby the baby having a normal life.",CASOLCO SAID ROBLES;;ALARCON ADRIANNI ZANATTA;;NAGANO JAVIER TAKESHI GONZALEZ;;ROCHA JOAN MANUEL GUEVARA
208,111-726-188-259-222,COVALENT MODIFICATION OF PROTEINS FOR THE INSTANTANEOUS VISUALISATION THEREOF AND SUBSEQUENT CHARACTERISATION THROUGH MASS SPECTROMETRY,"The invention relates to the covalent modification of proteins for the instantaneous visualisation and subsequent characterisation thereof. The modification is produced by nucleophilic addition of a dye with a functional group, for example a vinyl group that reacts with the amino groups of the protein, preferably the lysine amino acids of the peptide sequence, the dye optionally having at least another functional group, for example a sulphate group that acts as an ionisable functional group to increase the water-solubility of the stain, and subsequently to increase the solubility of the peptides, influencing the mass spectometry ionisation thereof. The dye is preferably Uniblue A.",WINKLER ROBERT;;MATA GOMEZ MARCO ARNULFO;;YASUI MATTHEW THOMAS
209,090-310-011-615-771,PROCESS FOR THE PRODUCTION OF L-LACTATE THROUGH FERMENTATION OF WHEY WITH LACTOCOCCUS LACTIS SUBSPECIES LACTIS,"In the present invention a process is described for the production of L-lactate through fermentation of whey with Lactococcus lactis subspecies lactis. Said process comprises (a) the stage of inoculation of the culture medium with Lactococcus lactis subspecies lactis, (b) the stage of production and accumulation of L-lactate in the culture medium, and (c) the stage of extraction of a given volume of fermented broth from the biological reactor. Fermentation in the culture medium takes place at a constant temperature lying in the range from 22 to 29°C, under strict anaerobic conditions and at a pH in the range from 5 to 6. Such operating conditions determine the homofermentative pathway of Lactococcus lactis subspecies lactis, in this manner preventing the generation of byproducts differing from the L-lactate, permitting total use of the lactose, preventing the accumulation of glucose and galactose in the fermented culture medium. Finally, the fermented culture medium is recovered from the fermentation vessel having a minimum concentration of L-lactate of 20 g/l and an optical purity exceeding 90%, together with a concentration not exceeding 0.3 g/l of byproducts differing from L-lactic acid and/or any of the monosaccharides constituting lactose.",PINTO PINA HAZAEL;;RODRIGUEZ SANCHEZ ALVARO CARLOS;;MUNOZ SANTANA SANDRA;;MARTINEZ VALDEZ LAURA HELENA;;RAMIREZ MEDRANO ALICIA;;ALVAREZ MARIO MOISES
210,104-994-717-059-021,DEVICE FOR HANDLING KEYS OF A MULTITASK LOCK.,"The industry intended to provide safety to homes, automobiles, locks, etc, is wide, so that the user may carry a determined amount of keys in his pockets, which is not ergonomical, functional or practical at the moment of looking for a key to open a lock. The system herein described provides the user with a practical, functional and ergonomical form to carry his keys, a container may contain four keys, each one being activated by a button that actuates an inner mechanism and ejects the key to be used, when the key has been used it is slid into the container; the user that has acquired this device has the option of looking a locksmith for engraving the profile required for opening the look of the house door, the vehicle or a lock.",CASOLCO SAID ROBLES;;ALARCON ADRIANNI ZANATTA;;HERRERA JARED IRAIS HERRERA;;CARRASCO MOSALY MATUS;;SOLIS GUILLERMO DE ROMAN;;BRITO MIGUEL CUELLAR;;GARCIA EMILIO ORTEGA;;MANZANO OMAR CASTRO;;LIMON GUSTAVO CUSPINERA;;ALVAREZ DANIEL JIMENEZ;;ROJAS ALBERTO DAVID VILLALBA;;NIEVA JUAN MANUEL TLACOCUENTLA;;CUANALO VICTOR ALEJANDRO AYAQUICA;;SALAZAR ERICK MIGUEL MUNOZ
211,152-466-163-642-187,SYSTEM FOR HEATING WATER USING SOLAR RADIATION,"The present invention is a novel system that incorporates a solar collector system with direct radiation concentrated using Fresnel lenses. This system accumulates solar energy and uses that energy to heat domestic water. The system comprises a Fresnel lens, two tanks (one inside the other), a copper coil through which the domestic water circulates and which surrounds the inner tank, and thermal insulation for the outer tank. The Fresnel lens directly concentrates the sun's rays onto the exposed glass surface on the upper part of the outer tank. The inside of the main tank houses another smaller tank containing air and the lower part of the latter tank is black in colour, allowing the solar energy to be absorbed more efficiently and the heat generated to be transmitted to the water in the space between the inner and outer tanks. The main tank is thermally insulated with a layer of glass fibre, preventing the heat concentrated in the tank from escaping therefrom. The advantage over other systems is that the entire system is incorporated in one structure that includes the tank with the hot water.",LEON ROVIRA NOEL;;HINCAPIE MONTOYA EDWIN MAURICIO
212,066-912-366-661-644,SISTEMA Y METODO CONSTRUCTIVO A BASE DE MOLDES REUTILIZABLES PARA CIMBRA DE GEOMETRIA ESPECIAL SEMICURVA,"1.- Una Cimbra de fibra de vidrio a base de moldes reutilizables para geometrías semicurvas caracterizada porque comprende uno o más moldes de entre los siguientes:a) molde lateral curvo, b) molde central,c) molde con preparación para ventana, d) molde con preparación para puerta;2.- La Cimbra de fibra de vidrio a base de moldes reutilizables para geometría semicurva de conformidad con la reivindicación 1 caracterizado porque los moldes para construcción son fabricados con fibra de vidrio;3.- La Cimbra de fibra de vidrio a base de moldes reutilizables para geometría semicurva de conformidad con la reivindicación 1 caracterizado porque los moldes para construcción son reutilizables y se pueden usar para construir más de una vivienda;",YEOMANS REYNA FRANCISCO SANTIAGO;;ALMADA NAVARRO DELMA VERY
213,006-307-205-791-235,SUCTION COMPRESS,"The invention relates to a suction compress comprising a flexible body with a rough outer surface having two thin faces of identical geometric configuration. The ventral face includes a plurality of holes and the outer surface of the dorsal face includes a flexible handle. The two faces define therebetween a cavity provided straight raised patterns directed towards a predetermined point on the periphery, whereat a coupling is located along the same axis of the structure, said coupling being connected to a vacuum source in order to extract liquids or to a liquid source in order to irrigate said liquids in a controlled manner through the holes in the ventral surface. The suction compress provides the advantages of a suction cannula as well as those of a compress or gauze, while minimising the disadvantages associated with said devices taken separately.",RUIZ SOTO GABRIELA MARIA;;GOMEZ QUINONES JOSE ISABEL;;FARIAS MARTINEZ MANUEL;;SALDIVAR ORNELAS ENRIQUE JAVIER;;QUIJANO DOMINGUEZ ELENA ISABEL VICTORIA
214,124-756-609-081-725,HEAT EXCHANGER FOR SOLAR ENERGY COLLECTOR TANK,"The present invention comprises a contact heat exchanger, the purpose of which is to transfer heat from a solar energy collector system to a Stirling motor, a Brayton closed-cycle turbine, or any other element capable of converting external thermal energy into mechanical or electrical energy, reducing heat loss. The heat exchanger comprises a calorific energy sensor which coincides with a mobile valve from which a perpendicular raised edge projects from the central axis thereof in order to allow the mobile valve to move. There is a fixed valve after the mobile valve, and surrounding both valves, there appears an insulating ring; at the same time, these are girded by the first section of a protective part which hooks to a second section of the protective part which holds a heat transfer piece encircled by a second insulating ring. Said ring has a cleft on the free end thereof allowing the ring to join to a Stirling motor. The pieces of the device are supported by means of a central circular perforation through which the pieces are joined to the leading bolt.",GARCIA ESPINOSA LUIS DIEGO;;LEON ROVIRA NOEL
215,100-211-839-711-437,DEVICE FOR THE CONTINUOUS RECOVERY OF BIOPARTICLES BY MEANS OF AQUEOUS TWO-PHASE SYSTEMS AND OPERATION METHOD THEREOF.,"The present invention refers to a device for the continuous recovery of bioparticles by means of aqueous two-phase systems and method for the operation thereof, which is performed at intervals or in a continuous manner, where the partition, separation and/or recovery of proteins and biological and non-biological compounds, of food, pharmaceutical or industrial interest were related by means of aqueous two-phase systems in continuous systems. The device is characterised in that, besides the whole benefits provided by the aqueous two-phase systems in the primary recovery of biocompounds, the system promotes a continuous flow. The invention does not require a disperse phase and a continuous phase, and has no overflow problems, since the speeds may be easily modified. The construction of the invention is ergonomic, thus using the same volume amount in a reduced space. The system does not change with regard to the type of polymer or salts used, thus being more selective and allowing the re ticulation of the phases to be performed within the device. The present invention avoids unitary operation such as centrifugation, agitation and decantation, which allows bioparticles to be recovered in a manner more efficient than the current aqueous two-phase systems, which perform each unitary operation in independent devices and equipments, the invention also facilitating the recovery of each of the phases of the aqueous two-phase systems, saving power and reducing the operation time.",PALOMARES MARCO ANTONIO RITO;;JIMENEZ OSCAR ALEJANDRO AGUILAR;;VILLEGAS OLGA PATRICIA VAZQUEZ
216,006-204-432-855-575,SYSTEM FOR PROVIDING GEOGRAPHIC AND ROAD SIGN INFORMATION TO A VEHICLE.,"The RFID transponders are technology that may be used for avoiding misunderstandings in people watching road signs in the streets of a city or highways. Said devices may store a code which may be read by RFID readers located in vehicles, which main function is not only limited to read the content of the transponders, but also interpreting said content with a computer and a database located within the reading device so as to display the information to the user in an easy manner. Additional information may also be stored in a compact manner by using a standardized code for avoiding the need of having an excess of memory fields with long chains of characters. Some related information is: position in a road or city (Kilometre ""N"" in the highway ""N"" or Av. ""X"" in the district ""Y"" in the city ""Z""). Said information may be utilised as a type of coordinates which, with a suitable inner processing performed by the computer and the data base, may provide the position of places such as gas stati ons, parking lots, emergency centres, etc, as well as the position-distance ratio of the same with regard to the location of the user.",RODRIGUEZ DAVID MUNOZ;;CRUZ JOSE RAMON RODRIGUEZ;;MIRANDA ROBERTO LINARES;;JIMENEZ DANIEL MUNOZ;;COUTINO ARTEMIO AGUILAR
217,008-662-797-102-067,ELECTRONIC DEVICE OF CONTROLLED ILLUMINATION FOR STUDYING PHOTOSYNTHETIC MICROORGANISMS AND/OR PHOTOSENSITIVE OR PHOTO RESPONSIVE MATERIALS.,"The present invention consists in an electronic device of controlled illumination for studying photosynthetic organisms and/or photosensitive or photo responsive materials. The device consists of a plate for supporting a plurality of LEDs. In the recommended version, the device uses a series of 96 LEDs having the same or a different wavelength, which are mounted over the plate, each LED illuminating, in an independent form, a culture well (having a transparent bottom), so that each LED is isolated for maintaining each experiment in each individual well. Optionally, the device may be controlled by an electronic system for allowing illumination protocols to be controlled where the intensity and the illumination and darkness periods may be controlled. Optionally, the device may have a system for tracking and controlling the temperature by ventilation in order to avoid warming of the samples of the cells caused by the energy dissipated by the LEDs.",ABUNDIS DAVID BULNES;;MOSCOA ADRIANA PACHECO;;ALVAREZ MARIO MOISES
218,134-616-159-496-891,DEVICE FOR DETECTING SOUNDS.,"Described is a device for detecting sounds, which is characterised in that it includes an interface element located between an emitter and an original transducer, which collects a clear signal, with a low energy consumption and in an optimised manner, best known as intelligent. Another property or characteristic of the invention is that a network sensor system may be formed, where the receptors may work as a real time player of the sounds or as a system for storing signals. The invention may be applied in the medical field for detecting and transmitting body sounds and in the engineering field as a wireless accelerometer in order to form a network.",RAMIREZ JORGE ARMANDO CORTES;;COUTINO ARTEMIO ALFREDO AGUILAR;;MENDIOLA JUAN LUIS SALAZAR
219,164-224-211-672-414,IMMUNE-ESSAY FOR DETERMINING THE AMOUNT OF SPECIFIC ANTIBODIES AGAINST INFLUENZA A/H1N1/2009 VIRUS IN SAMPLES OF BLOOD PLASMA AND SERUM.,"The standard method for the quantification of anti-influenza antibodies, a method for inhibiting the hemagglutination, requires the use of erythrocytes and viral particles. The aforementioned characteristic makes difficult the implementation of the method. The present invention presents a novel immunological method (ELISA type) for diagnosing the presence, concentration or titre of anti Influenza A/H1N1/2009 antibodies in samples of blood serum or plasma in human subjects or animal models such as ferrets, rats, mice, amongst others. The proposed method does not require the use of viral particles or virus. The main component of the diagnosis method is a protein, referred in the invention as HA50-274-h1n1. Said protein is a fragment of the Hemagglutinin protein of the Influenza A H1n1/2009 virus expressed in Escherichia coli strains. In its recommended version, the diagnosis method of the present invention comprises fixing an anti histidine antibody to the surface of the diagnosis devic e; blocking the remaining spaces in the surface of the device with a protein or other blocking agent; adding the protein HA50-274-H1N1; adding a sample of the problem serum diluted in a PBS solution at a ratio of 1:50; adding an anti IgG antibody bonded to peroxidase; adding a substrate for the peroxidation reaction; evaluating the occurrence degree of the reaction by absorbance readings at 580 nm. This method may be used for the evaluation of anti Influenza A/H1N1 antibody titres in applications related to the development of vaccines against Influenza, epidemiologic studies based on serology, in studies for determining the susceptibility to be infected by Influenza A/H1N1, etc. The inventive method is particularly useful for evaluating samples taken from the third post-infection week.",YANEZ JOSE MANUEL AGUILAR;;ABUNDIS DAVID BULNES;;ALVAREZ MARIO MOISES;;PACHECO FELIPE LOPEZ;;OCHOA GONZALO ISMAEL MENDOZA
220,162-449-974-111-177,METHOD FOR PRODUCING POROUS MEMBRANES OF CHITOSAN AND CHITOSAN POROUS MEMBRANES.,"The present invention refers to a process for the synthesis of chitosan porous membranes by means of a process that does not require the use of the vacuum dry method commonly applied. The process consists in reacting NaHCO3 with organic acid present in the chitosan solution, for example, acetic acid. Said reaction generates CO2, which produces bubbles in the mixture which are trapped due to the high viscosity thereof. The reaction is subsequently introduced in a furnace for drying and trapping the bubbles, in order to form a plurality of porosities in the sample. Once the sample is dried it is submerged into hot water so as to turn the membrane into a water insoluble membrane and remove the rests of NaHCO3 and sodium acetate from the reaction. Finally it is washed with cold distilled water.",RAMIREZ JORGE ARMANDO CORTES;;INGRAM ROCIO GOSCH
221,195-701-136-546-04X,PROCESS FOR THE PRODUCTION OF L-LACTATE THROUGH FERMENTATION OF WHEY WITH LACTOCOCCUS LACTIS SUBSPECIES LACTIS,"In the present invention a process is described for the production of L-lactate through fermentation of whey with Lactococcus lactis subspecies lactis. Said process comprises (a) the stage of inoculation of the culture medium with Lactococcus lactis subspecies lactis, (b) the stage of production and accumulation of L-lactate in the culture medium, and (c) the stage of extraction of a given volume of fermented broth from the biological reactor. Fermentation in the culture medium takes place at a constant temperature lying in the range from 22 to 29°C, under strict anaerobic conditions and at a pH in the range from 5 to 6. Such operating conditions determine the homofermentative pathway of Lactococcus lactis subspecies lactis, in this manner preventing the generation of byproducts differing from the L-lactate, permitting total use of the lactose, preventing the accumulation of glucose and galactose in the fermented culture medium. Finally, the fermented culture medium is recovered from the fermentation vessel having a minimum concentration of L-lactate of 20 g/l and an optical purity exceeding 90%, together with a concentration not exceeding 0.3 g/l of byproducts differing from L-lactic acid and/or any of the monosaccharides constituting lactose.",PINTO PINA HAZAEL;;RODRIGUEZ SANCHEZ ALVARO CARLOS;;MUNOZ SANTANA SANDRA;;MARTINEZ VALDEZ LAURA HELENA;;RAMIREZ MEDRANO ALICIA;;ALVAREZ MARIO MOISES
222,194-920-967-265-39X,COVALENT MODIFICATION OF PROTEINS FOR THE INSTANTANEOUS VISUALISATION THEREOF AND SUBSEQUENT CHARACTERISATION THROUGH MASS SPECTROMETRY,"The invention described discloses the covalent modification of proteins for the instantaneous visualisation and subsequent characterisation thereof. The chemical mechanism employed is based on nucleophilic addition. The mechanism of the chemical reaction is explained, together with the bonding of the latter to specific aminoacid residues. Identification and characterisation of stained proteins employing mass spectrometry may be carried out by virtue of changes in mass of the residues modified by Uniblue A. A significant advantage of the staining employed in this invention lies in it having shown high compatibility with mass spectrometry analysis, it being unnecessary in addition to remove the colourant from proteins following staining as in the case of Coomassie or silver staining. Moreover, the derivatisation of amino acids gives rise to a change in the proteolytic hydrolysis patterns which may increase peptide sequencing coverage. Furthermore, improvement in the sequencing coverage of MS/MS analysis may be achieved by taking into account the changes in mass of the terminal amino groups of the derivatised amino acids. Additionally, a shorter procedure for protein identification is presented. Using the methods proposed for staining and analysis of proteins, the time required for protein analysis may be substantially reduced whilst the quality of the analysis may be improved.",WINKLER ROBERT;;MATA GOMEZ MARCO ARNULFO;;YASUI MATTHEW THOMAS
223,040-169-970-155-834,MEAT PRODUCT OF THE SIRLOIN STEAK TYPE WITH A HIGH ADDED VALUE.,"Described is a meat product of the sirloin type and process for the manufacture thereof. Said product is characterised in that it is an alternative in the market due to the higher nutritional benefits, since includes fibre from carrots and soy isolate. In addition, the invention improves the softness, the useful life, the flavour, juiciness and general appearance of the product. The inventive process increases the use of the raw material, thus reducing the production costs. The process includes conditioning the meat cut (including a type of attachment and the fat excess removal), a brine injection at 30% by weight (including CaCl2, flavour agents, potato starch, soy isolate amongst others, being responsible of the final characteristics of the product), a sealing process (including the addition of flour, salt and pepper, and the fry of the meat cut) and the packaging of the product. The result of said process is a product that shows a better acceptance which is not currently available on the market, being an alternative product with characteristics of texture, flavour and general appearance similar to those of a sirloin product.",CLERKE EUNICE ARLETTE VINIEGRA;;HERRERA HUGO ARIOSTO HERNANDEZ;;GAMEZ JOSE GAITAN
224,058-293-455-319-613,COVALENT MODIFICATION OF PROTEINS FOR THE INSTANTANEOUS VISUALISATION THEREOF AND SUBSEQUENT CHARACTERISATION THROUGH MASS SPECTROMETRY.,"The invention described discloses the covalent modification of proteins for the instantaneous visualisation and subsequent characterisation thereof. The chemical mechanism employed is based on nucleophilic addition. The mechanism of the chemical reaction is explained, together with the bonding of the latter to specific aminoacid residues. Identification and characterisation of stained proteins employing mass spectrometry may be carried out by virtue of changes in mass of the residues modified by Uniblue A. A significant advantage of the staining employed in this invention lies in it having shown high compatibility with mass spectrometry analysis, it being unnecessary in addition to remove the colourant from proteins following staining as in the case of Coomassie or silver staining. Moreover, the derivatisation of amino acids gives rise to a change in the proteolytic hydrolysis patterns which may increase peptide sequencing coverage. Furthermore, improvement in the sequencing coverage of MS/MS analysis may be achieved by taking into account the changes in mass of the terminal amino groups of the derivatised amino acids. Additionally, a shorter procedure for protein identification is presented. Using the methods proposed for staining and analysis of proteins, the time required for protein analysis may be substantially reduced whilst the quality of the analysis may be improved.",WINKLER ROBERT;;GOMEZ MARCO ARNULFO MATA;;YASUI MATTHEW THOMAS
